Area,Year,Temperature_Change,Artificial surfaces (including urban and associated areas),Grassland,Herbaceous crops,Inland water bodies,Mangroves,Permanent snow and glaciers,Shrub-covered areas,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Sparsely natural vegetated areas,Terrestrial barren land,Tree-covered areas,Woody crops,AFOLU,Agricultural Soils,Agrifood Systems Waste Disposal,Agrifood systems,All sectors with LULUCF,All sectors without LULUCF,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Emissions from crops,Emissions from livestock,Emissions on agricultural land,Energy,Enteric Fermentation,Farm gate,Fertilizers Manufacturing,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPCC Agriculture,IPPU,International bunkers,LULUCF,Land-use change,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Pre- and post-production,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
Afghanistan,1992,-0.32,25.26,24019.62,5759.76,268.55,0.0,322.06,3351.75,5.88,4270.98,24961.75,1265.14,87.38,5852.8888,2329.4825,486.75123333333335,4859.3484,5333.15715,5333.1271,58.84213333333333,196.5505,0.0,0.0,0.0,790.2914666666667,5053.801133333333,5855.832266666667,706.1503333333334,5313.28,5855.832266666667,13.4929,0.0,0.0,26.99423333333333,,,65.10239999999999,18.252633333333332,0.04006666666666667,0.0,5852.848733333333,51.932825,,0.04006666666666667,0.0,232.74213333333333,264.788,1653.494,0.0,2.983533333333334,16.253333333333334,,467.4742,686.0,8.756133333333333,214.65,466.34
Albania,1992,0.12,13.02,405.94,987.82,66.83,0.0,0.0,323.33,7.51,33.46,53.2,794.21,213.63,2243.1134333333334,719.051,295.43519999999995,2010.478625,2872.383275,2860.5382,6.5406,29.945,130.578,110.5705,20.0075,82.18933333333332,2128.0748666666664,2366.8593333333333,1201.2126666666666,2151.4584,2282.651033333333,,0.0,0.0,1.9846,0.05616666666666666,0.0,0.878075,13.966366666666667,4.603266666666666,-329.6249,1468.83,50.534949999999995,,511.740075,84.2083,302.15226666666666,187.3815,400.044,252.6249,18.4742,10.688333333333333,0.5041,235.334125,1.8816,3.6997999999999998,81.673,307.45
Algeria,1992,-0.34,80.64,825.84,8352.23,196.33,0.0,0.0,2064.52,2.14,9105.09,208267.0,1533.34,587.59,5456.237866666666,3102.5405,4240.5284,9706.643199999999,49161.4219,49099.8351,46.437999999999995,291.871,0.0,0.0,0.0,415.77086666666673,4926.418066666666,5418.188999999999,53692.166666666664,4610.942,5374.122133333333,59.726,0.0,0.0,2439.424566666667,18.7803,0.0,265.5,588.6034,60.11573333333333,-66.2006,5374.122133333333,1291.199,,82.11573333333332,44.06686666666667,150.45006666666666,92.485,2460.4985,132.2006,0.0,187.26666666666665,19.847966666666668,5643.001475,4.4688,31.9332,257.686,4491.292666666667
American Samoa,1992,0.468,0.03,1.6,2.77,5.59,0.16,0.0,1.14,0.0,0.02,0.0,8.91,5.5,0.0,0.0,1.1908666666666667,61.41,0.0,0.0,,,0.0,0.0,0.0,,,18.592299999999998,,,15.6487,,0.0,0.0,0.17059999999999997,,32.606566666666666,2.9346,5.915299999999999,0.0,-8.8308,0.0,,,0.0,2.9436,,,,8.8308,15.6487,,,42.8177,,0.0,,
Andorra,1992,0.365,0.19,10.93,0.31,0.01,0.0,0.0,0.78,0.0,4.89,2.27,29.72,0.31,4.888866666666667,0.0,12.5471,20.56955,147.2531,143.586475,,,0.0,0.0,0.0,,,4.256,147.11233333333334,,0.0,,0.0,0.0,0.672775,,,3.3939,8.67855,0.0,1.8986,0.0,19.9035,,4.888866666666667,4.256,,,,12.768,,2.226,0.0745,17.37755,,0.0,,16.314333333333334
Angola,1992,0.228,24.15,17819.7,5293.61,296.92,33.71,0.0,23302.48,731.68,48.04,2662.67,74351.4,352.91,34314.133466666666,1633.884,962.3588333333333,26319.608475,34757.7601,24208.38045,53.72473333333334,43.672,408.2425,390.3815,17.861,117.10106666666667,3318.3099333333334,34078.33786666667,10804.660000000002,3188.4216,20380.994433333333,,10486.542933333332,0.0,16.92803333333333,0.0,,0.20977500000000002,34.78203333333333,10724.9346,-0.0682,20248.293933333334,96.57,,14065.839533333332,13697.343433333333,155.85653333333332,94.87,1460.3885,9632.4015,2.5733333333333333,874.5,0.12483333333333334,760.8550749999999,34.3,16800.9756,17.0925,545.3166666666667
Anguilla,1992,0.371,0.04,4.88,0.05,3.54,0.09,0.0,0.12,1.11,0.0,0.03,0.7,0.05,0.0,0.0,0.0,3.389066666666667,17.381600000000002,17.381600000000002,,,0.0,0.0,0.0,,,0.0,16.1218,,0.0,,0.0,0.0,1.7124666666666666,,,0.6203,0.8102333333333332,0.0,0.0,0.0,0.0065,,0.0,0.0,,,,0.0,,0.114,0.2461,3.389066666666667,,0.0,,1.1795333333333333
Antigua and Barbuda,1992,0.462,0.55,14.11,1.24,11.79,0.5,0.0,0.9,4.47,0.02,0.0,17.45,0.31,37.738933333333335,9.6725,19.563733333333335,50.77625,149.98953333333333,141.434,0.0018666666666666666,0.0,0.0,0.0,0.0,0.0018666666666666666,29.181533333333334,36.843133333333334,83.9954,32.6592,29.183400000000002,,0.0,0.0,1.7258,,,1.1143999999999998,3.8432333333333335,0.0,2.6874,29.183400000000002,0.4587,,8.555533333333333,7.659733333333333,0.9604,1.908,7.7645,22.9792,,1.8338,3.6643333333333334,23.143900000000002,,0.0,,26.726933333333335
Argentina,1992,-0.255,306.22,14586.2,49393.85,4611.41,0.0,645.21,95788.93,8494.39,46880.51,12500.22,43398.72,1880.97,111376.73116666666,28584.808,6077.525700000001,93867.651275,126967.09687499999,105891.7615,278.8276,2248.578,5700.9405,5128.514,572.4265,3052.5112666666664,78066.5704,116252.12363333332,47723.1,89960.528,87321.12223333334,590.9938999999999,388.3016,0.0,734.3858,0.0,0.0,66.067925,1155.0880666666667,758.4980666666667,-8730.7661,83276.284,1193.6035000000002,,28100.447166666665,28931.001399999997,1456.2734,914.25,24040.6675,85628.0994,2335.3335666666667,930.15,210.86340000000004,6678.55855,1103.088,1775.567,808.886,7978.06
Armenia,1992,-1.296,27.61,669.04,822.81,128.4,0.0,0.0,437.73,1.42,48.86,47.8,711.05,116.71,954.6223666666668,544.8665,169.27020000000002,1087.700375,2714.079775,2681.5568999999996,1.7207333333333334,25.8905,0.0,0.0,0.0,74.15406666666667,834.314,1161.9322666666667,2148.6023333333337,751.24,1149.7653333333333,,0.0,0.0,76.170925,6.666666666666667e-05,0.3149,3.492875,12.455133333333334,0.5860666666666666,91.8325,911.2585333333333,41.613749999999996,,43.36383333333333,12.166933333333333,42.67633333333333,33.337,402.8795,36.5008,238.5068,36.74666666666666,0.07633333333333334,216.25119999999998,,2.7904666666666667,82.7595,423.31666666666666
Aruba,1992,0.614,0.17,2.91,0.56,3.32,0.02,0.0,11.41,0.31,1.21,0.0,0.19,0.56,0.10233333333333333,0.0,66.9047,44.831525,192.61660000000003,192.51426666666669,,,0.0,0.0,0.0,,,0.0,181.50423333333333,,0.0,,0.0,0.0,4.503866666666666,,,4.9845,5.471333333333333,0.0,0.307,0.0,0.5502,,0.10233333333333333,0.0,,,,0.0,,2.1174,1.8739666666666668,44.831525,,0.0,,9.231666666666667
