Area,Year,Temperature_Change,Artificial surfaces (including urban and associated areas),Grassland,Herbaceous crops,Inland water bodies,Mangroves,Permanent snow and glaciers,Shrub-covered areas,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Sparsely natural vegetated areas,Terrestrial barren land,Tree-covered areas,Woody crops,AFOLU,Agricultural Soils,Agrifood Systems Waste Disposal,Agrifood systems,All sectors with LULUCF,All sectors without LULUCF,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Emissions from crops,Emissions from livestock,Emissions on agricultural land,Energy,Enteric Fermentation,Farm gate,Fertilizers Manufacturing,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPCC Agriculture,IPPU,International bunkers,LULUCF,Land-use change,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Pre- and post-production,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
Brunei Darussalam,1992,0.454,1.1,10.53,27.8,16.56,19.3,0.0,7.64,0.0,0.23,0.0,498.68,27.8,506.5115333333333,24.9895,103.61256666666668,543.616125,2602.89095,2246.18485,0.0568666666666666,0.1855,331.0947,318.0302,13.0645,4.700733333333333,17.4064,515.9017,2914.283,8.862,147.09380000000002,,8.9254,117.509,59.188225,0.0,,0.41945,24.156566666666663,8.9254,2.3705,30.9034,1.5573,,475.6081333333333,368.8079,3.6720666666666655,4.558,7.1815,844.6295,10.180333333333332,14.8135,1.6735333333333335,156.68985,6.8068,0.0689333333333333,0.0,37.77466666666667
Cambodia,1992,0.448,4.77,1013.74,5762.81,429.0,43.21,0.0,1470.96,472.11,0.26,1.77,8856.38,179.11,15401.698799999998,1338.356,810.6946333333334,11566.881,12969.4293,9333.63135,61.4358,259.3025,0.0,0.0,0.0,5178.588199999999,4577.447666666667,14173.296833333332,1061.4466666666667,4614.568,10553.9682,,1680.7160666666666,0.0,8.227166666666667,,,574.714,41.62473333333333,3156.1750666666667,-741.1711,10553.9682,7.686933333333333,,4847.7306,3619.328633333333,816.2736666666666,305.8365,721.3565,5815.8377,0.0,625.4,5.522100000000001,936.908375,7364.5656,797.9323333333333,51.8605,404.8066666666667
Indonesia,1992,0.38,710.6,9059.49,24151.96,5500.85,4278.22,0.0,6733.35,0.0,1601.47,0.0,123843.9,15275.56,585676.2227333334,29164.628,43943.796700000006,479293.16355,537632.31015,161004.7858,627.2068666666667,3605.325,195292.4181,187421.1231,7871.295,53094.05173333333,24877.218066666668,589530.2332666666,109027.33333333331,23214.884,147744.9418,616.9785,2880.8240666666666,147476.45415,771.613,189.6279333333333,606.8440666666667,593.7757,1480.6081,2931.9108666666666,-89247.77525,76708.51846666668,5109.3181,,425562.22685,441785.2914666667,3850.9457333333335,2350.126,5974.372,689652.90195,1765.0438333333334,2809.0,1280.2634,37145.4886,65731.4588,287.39046666666667,9363.51,13454.433333333334
Lao People's Democratic Republic,1992,0.135,3.18,1293.59,2572.77,224.64,0.0,0.0,8063.66,88.67,0.0,0.0,10668.12,209.3,8719.3147,836.1545,263.96146666666664,6441.6423,9465.5177,5106.7806,21.68573333333333,118.932,0.0,0.0,0.0,1150.0474666666669,3054.574133333333,8121.806066666667,512.1366666666667,3136.294,4375.039366666667,,956.5566666666668,0.0,4.331633333333333,,,271.0221,17.97286666666667,1662.5148666666666,-281.9634,4360.5776,6.5595,,4358.7371,3746.7667,497.04833333333335,200.8965,499.101,8370.6301,14.461766666666668,132.235,0.1031666666666666,350.28775,1556.3856,155.95413333333332,17.225,141.53666666666666
Malaysia,1992,0.463,115.33,1504.42,855.91,602.31,625.66,0.0,1178.75,0.0,7.83,0.0,23069.28,5173.32,42670.50493333334,3819.339,3707.8941666666665,27174.444025,57443.2572,29757.88415,23.17543333333333,145.061,21484.4219,20619.1704,865.2515,3452.5174666666667,1721.9613333333334,30538.255266666663,29305.86666666667,1406.5646000000002,12634.160066666664,,178.45126666666667,5410.96025,753.29625,0.0,,4.221925,638.1354333333333,185.02266666666665,36390.322,5131.010433333334,1249.9235,,-17799.366949999996,17904.0952,478.1650333333334,210.9665,334.2975,42355.0113,4.4290666666666665,503.5,338.2825,4270.752575,3370.2788,5.376866666666667,1627.153,2612.4066666666663
Myanmar,1992,0.057,39.1,4310.42,17157.03,1254.86,440.81,1.31,14855.86,58.79,1.67,0.86,28191.3,908.78,73048.8609,5681.6795,4086.4935666666665,58332.5512,60003.516925,29761.0248,189.7288,1155.2675,14813.1689,14208.4919,604.677,15932.672933333335,15890.852533333333,73261.4507,4839.599999999999,16719.8136,37524.560333333335,27.6906,5869.366666666666,2248.38265,33.30355,0.0314666666666666,0.0,238.251225,47.030233333333335,7561.126,-5524.4725,32725.53806666667,121.84625,,40323.32283333333,35736.89036666667,2332.136933333333,1046.1405,2572.1165,85105.8058,62.85829999999999,731.4,1.1955333333333331,3386.463175,22155.6972,498.8788,303.478,1466.1666666666667
Philippines,1992,0.343,76.36,2122.92,7298.29,1500.35,640.91,0.0,1399.97,0.0,145.85,0.0,11282.63,5908.46,31291.91113333333,5219.9965,5864.589166666666,36434.413375,42904.8911,42274.13515,330.4016666666667,923.843,0.0,0.0,0.0,22252.742266666668,8171.2226,38255.335366666666,19921.8,7312.2252,30857.588033333333,46.6257,25.979466666666667,0.0,352.17152500000003,25.183733333333333,680.7523666666667,2008.4017,494.9582666666667,42.896800000000006,-19720.9702,30450.9032,998.93275,,841.0079333333334,7397.747333333333,1766.1191333333334,644.374,1651.056,22115.3036,406.6848333333333,694.3,95.42596666666668,7742.91185,29958.9444,26.938333333333333,2000.7235,4198.033333333333
Singapore,1992,,8.24,3.71,23.33,9.69,6.15,0.0,1.12,0.0,0.16,0.0,9.17,4.67,-4.423633333333334,21.7565,123.80486666666668,626.942275,16295.084775,16310.6653,0.0,,0.0,0.0,0.0,9.557666666666666,6.790866666666666,16.354133333333333,16238.396666666667,0.5936,16.3504,,0.0037333333333333,0.0,224.005425,7.506333333333333,,103.520025,251.5569,0.0037333333333333,-62.3333,16.3504,3607.55,,-20.77403333333333,0.0037333333333333,1.4503333333333333,3.074,4.346,0.0,,125.96333333333332,,614.676675,,0.0,14.3365,556.7766666666666
Thailand,1992,0.337,96.1,3933.75,24679.15,964.14,322.99,0.0,5481.44,11.46,30.3,0.24,11242.77,4776.06,51207.53596666667,9514.0565,10840.2623,53577.8604,81578.91047500001,79271.1611,431.1976666666666,1926.55,1141.7907,1093.8787,47.912,31269.3362,16627.451333333334,53198.533866666665,44746.8,16982.392,50849.77363333333,562.3578,1387.6336,83.53829999999999,1158.4561250000002,334.5158,2083.920833333333,1494.177,1137.8944,1726.5696,74.0301,48130.5368,3432.5835,,3076.999166666667,2348.7602333333334,2487.2636666666667,1233.4425,2994.447,2716.3033,2354.6106,1605.9,117.7234,13678.96,41018.9528,201.80793333333332,3311.705,7170.166666666667
Viet Nam,1992,-0.002,73.27,1835.53,9988.64,890.47,186.27,0.0,5644.06,56.98,6.2,18.65,11935.05,2160.64,11415.9739,7310.979,3987.2124666666655,33421.7251,22893.430125,40850.359800000006,259.51640000000003,1544.8705,4054.5601,3895.9841,158.576,24614.7988,10512.432333333332,37326.34126666666,14254.066666666666,9185.5988,36997.26276666667,,163.00206666666665,249.11465,129.03356666666667,0.0,0.0,2146.776725,111.05129999999998,513.5782,-77762.6667,35358.546800000004,510.8597,,-23942.5729,329.0785,2641.4841333333334,936.192,1684.6315,0.0,340.0546,487.6,146.2927666666667,5426.96915,32001.3176,125.616,2986.709,3848.32
