Area,Year,Temperature_Change,Artificial surfaces (including urban and associated areas),Grassland,Herbaceous crops,Inland water bodies,Mangroves,Permanent snow and glaciers,Shrub-covered areas,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Sparsely natural vegetated areas,Terrestrial barren land,Tree-covered areas,Woody crops,AFOLU,Agricultural Soils,Agrifood Systems Waste Disposal,Agrifood systems,All sectors with LULUCF,All sectors without LULUCF,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Emissions from crops,Emissions from livestock,Emissions on agricultural land,Energy,Enteric Fermentation,Farm gate,Fertilizers Manufacturing,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPCC Agriculture,IPPU,International bunkers,LULUCF,Land-use change,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Pre- and post-production,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
Angola,1992,0.228,24.15,17819.7,5293.61,296.92,33.71,0.0,23302.48,731.68,48.04,2662.67,74351.4,352.91,34314.133466666666,1633.884,962.3588333333332,26319.608475,34757.7601,24208.38045,53.72473333333334,43.672,408.2425,390.3815,17.861,117.10106666666668,3318.309933333333,34078.33786666667,10804.660000000002,3188.4216,20380.994433333333,,10486.542933333332,0.0,16.92803333333333,0.0,,0.209775,34.78203333333333,10724.9346,-0.0682,20248.29393333333,96.57,,14065.839533333332,13697.343433333332,155.85653333333332,94.87,1460.3885,9632.4015,2.5733333333333333,874.5,0.1248333333333333,760.8550749999999,34.3,16800.9756,17.0925,545.3166666666667
Antigua and Barbuda,1992,0.462,0.55,14.11,1.24,11.79,0.5,0.0,0.9,4.47,0.02,0.0,17.45,0.31,37.738933333333335,9.6725,19.56373333333333,50.77625,149.98953333333333,141.434,0.0018666666666666,0.0,0.0,0.0,0.0,0.0018666666666666,29.18153333333333,36.84313333333333,83.9954,32.6592,29.1834,,0.0,0.0,1.7258,,,1.1143999999999998,3.8432333333333335,0.0,2.6874,29.1834,0.4587,,8.555533333333333,7.659733333333333,0.9604,1.908,7.7645,22.9792,,1.8338,3.664333333333333,23.1439,,0.0,,26.72693333333333
Aruba,1992,0.614,0.17,2.91,0.56,3.32,0.02,0.0,11.41,0.31,1.21,0.0,0.19,0.56,0.1023333333333333,0.0,66.9047,44.831525,192.61660000000003,192.51426666666669,,,0.0,0.0,0.0,,,0.0,181.50423333333333,,0.0,,0.0,0.0,4.503866666666666,,,4.9845,5.471333333333333,0.0,0.307,0.0,0.5502,,0.1023333333333333,0.0,,,,0.0,,2.1174,1.8739666666666668,44.831525,,0.0,,9.231666666666667
Barbados,1992,0.562,3.2,4.08,24.87,3.95,0.0,0.0,1.47,0.27,0.03,0.0,7.11,1.55,68.84483333333334,34.1055,100.36226666666666,170.748375,630.8150333333333,629.4994,0.4243333333333333,0.0795,0.0,0.0,0.0,5.989333333333334,61.53426666666667,67.94233333333334,444.7096666666666,59.0156,67.94233333333334,,0.0,0.0,25.903433333333336,,,11.447225,9.8315,0.0,3.9469,67.5292,45.4508,,1.3156333333333332,0.0,5.018533333333333,6.9165,18.8415,0.0,0.4131333333333333,6.996,8.362,119.791625,,0.0056,8.268,82.296
Belize,1992,0.354,0.45,62.71,67.23,97.73,53.23,0.0,81.65,15.25,0.02,0.83,1841.36,37.22,1722.4621,55.0405,129.2522,1404.662525,1479.620875,284.88905,1.8475333333333332,2.332,157.1548,149.7348,7.42,10.4486,104.9212,1721.7974000000002,133.893,113.1004,179.39793333333333,,70.2864,0.0,4.786075,,,1.560125,5.129725,70.2864,1.9941,129.4863333333333,23.5034,,1592.9757666666667,1542.3994666666667,4.822933333333333,5.4325,31.588,4416.3392,,6.0685,6.5326,113.314475,2.3016,9.187533333333333,8.268,88.92366666666668
Benin,1992,0.013,14.5,418.85,3257.75,44.16,8.09,0.0,4158.56,2.54,0.13,4.2,3460.29,220.18,936.8688333333334,782.0415,301.4512666666667,8009.35295,1709.451625,2633.1061,29.83233333333333,47.3555,0.0,0.0,0.0,88.26199999999999,1449.872933333333,10261.696066666666,859.1466666666666,1338.7584,2168.4081333333334,,79.6184,0.0,3.107766666666667,0.0,0.0,58.46135,17.980733333333333,380.5718,-28877.3419,2168.4081333333334,29.823666666666668,,-1231.5393,8093.287933333333,90.36666666666667,62.699,637.802,24041.0086,0.0,106.53,16.953100000000003,313.08090000000004,6.104,630.2732,34.185,382.4096666666666
British Virgin Islands,1992,0.285,0.53,1.39,0.05,11.1,1.53,0.0,0.05,2.9,0.03,0.0,6.19,0.03,0.0,0.0,0.413,1.5814,28.64113333333333,28.64113333333333,,,0.0,0.0,0.0,,,0.0,27.168066666666665,,0.0,,0.0,0.0,,,,1.3472,0.7303999999999999,0.0,0.0,0.0,0.0795999999999999,,0.0,0.0,,,,0.0,,0.2677,0.0670333333333333,1.5814,,0.0,,1.2416
Burkina Faso,1992,-0.011,12.66,5801.54,15512.02,95.38,0.0,0.0,4234.14,25.72,83.28,86.18,1289.95,262.76,17523.965,3139.3755,960.6861333333331,13442.6889,14963.38475,7317.2448,15.139533333333333,190.747,0.0,0.0,0.0,291.88640000000004,5957.830999999999,16843.4054,1650.8,5681.7712,7331.685066666668,,37.69526666666667,0.0,3.1919000000000004,0.0,0.0,72.07655,15.369266666666668,529.5199333333334,573.9248,7329.111733333334,8.984666666666667,,10194.853266666669,9511.720333333333,238.4692,116.2025,2781.069,28422.0752,2.5733333333333333,196.365,4.830466666666666,810.1348499999999,173.0456,1079.3748,51.357,636.52
Burundi,1992,0.234,2.05,457.61,1009.37,202.36,0.0,0.0,280.87,26.68,0.0,0.0,334.05,401.58,2493.793766666666,513.5965,519.5488,2283.270875,2794.900075,1536.1871,8.617600000000001,41.5255,3094.2536,2949.3516,144.902,59.89526666666666,642.987,2491.6918666666666,902.2466666666666,609.3556,1798.6269999999995,,0.5212666666666667,0.0,0.8587666666666666,,,39.6917,5.0868,3.389,-2.2975,815.5097999999999,3.52475,,1678.2839666666666,693.0648666666666,25.262266666666665,16.536,300.6955,2077.6308,,40.28,0.7140333333333334,414.501975,25.48,16.008533333333332,9.9375,285.5133333333333
Cabo Verde,1992,0.656,2.3,52.75,21.57,41.17,0.0,0.0,146.75,3.41,6.45,150.3,9.03,1.58,80.62183333333333,42.771,48.51226666666667,106.923575,145.24655,147.07987500000002,2.1730666666666667,1.1395,0.0,0.0,0.0,2.9504,80.11213333333333,83.06626666666666,93.659,46.6648,83.06626666666666,,0.0,0.0,3.7418,,,2.362075,4.084833333333333,0.0,-7.3333,83.06626666666666,0.3225,,-2.444433333333333,0.0,21.265600000000003,18.126,23.5055,0.0,,2.4751,0.0101999999999999,44.623875,,0.0037333333333333,0.0,17.408666666666665
