Item Code,CPC Code,Item
6824,,AFOLU
1709,,Agricultural Soils
6518,,Agrifood systems
6991,,Agrifood Systems Waste Disposal
6825,,All sectors with LULUCF
6829,,All sectors without LULUCF
5066,,Burning - Crop residues
5064,,Crop Residues
6729,,Drained organic soils
67292,,Drained organic soils (CO2)
67291,,Drained organic soils (N2O)
5084,,Emissions from crops
5085,,Emissions from livestock
6995,,Emissions on agricultural land
6821,,Energy
5058,,Enteric Fermentation
6967,,FAO aggregates
6996,,Farm gate
6504,,Fertilizers Manufacturing
69921,,Fires in humid tropical forests
6993,,Fires in organic soils
6505,,Food Household Consumption
6506,,Food Packaging
6507,,Food Processing
6508,,Food Retail
6815,,Food Transport
6992,,Forest fires
6751,,Forestland
6820,,International bunkers
6968,,IPCC aggregates
1711,,IPCC Agriculture
6817,,IPPU
6516,,Land-use change
1707,,LULUCF
5062,,Manure applied to Soils
5063,,Manure left on Pasture
5059,,Manure Management
6750,,Net Forest conversion
6994,,On-farm energy use
6819,,Other
6966,,Other sectors
6997,,Pesticides Manufacturing
6517,,Pre- and post-production
5060,,Rice Cultivation
6795,,Savanna fires
5061,,Synthetic Fertilizers
6818,,Waste
