parameter,value,asean_validation_reconstructed_level_MAE
model_type,GRU,0.24101786396174985
model_type,LSTM,0.24209283521597236
sequence_window,3,0.24314538133447575
sequence_window,5,0.2454186093164776
sequence_window,7,0.23610205811562998
hidden_dim,16,0.24713393139421888
hidden_dim,24,0.24220610449383706
hidden_dim,48,0.2353260128785274
learning_rate,0.001,0.24192774798995384
learning_rate,0.003,0.2411829511877684
dropout,0.05,0.24400410727771535
dropout,0.15,0.23910659190000688
num_layers,1,0.24670147943156856
num_layers,2,0.23640921974615367
weight_decay,0.0001,0.24158248268701396
weight_decay,0.001,0.24152821649070827
