model_type,sequence_window,hidden_dim,learning_rate,dropout,num_layers,batch_size,weight_decay,random_seed,epochs_ran,best_epoch,final_train_loss,best_val_loss,is_default_config,validation_delta_n,validation_delta_MAE,validation_delta_RMSE,validation_delta_R2,validation_reconstructed_level_n,validation_reconstructed_level_MAE,validation_reconstructed_level_RMSE,validation_reconstructed_level_R2,asean_validation_delta_n,asean_validation_delta_MAE,asean_validation_delta_RMSE,asean_validation_delta_R2,asean_validation_reconstructed_level_n,asean_validation_reconstructed_level_MAE,asean_validation_reconstructed_level_RMSE,asean_validation_reconstructed_level_R2,test_delta_n,test_delta_MAE,test_delta_RMSE,test_delta_R2,test_reconstructed_level_n,test_reconstructed_level_MAE,test_reconstructed_level_RMSE,test_reconstructed_level_R2,asean_test_delta_n,asean_test_delta_MAE,asean_test_delta_RMSE,asean_test_delta_R2,asean_test_reconstructed_level_n,asean_test_reconstructed_level_MAE,asean_test_reconstructed_level_RMSE,asean_test_reconstructed_level_R2
LSTM,3,24,0.003,0.05,2,256,0.001,214,18,12,0.07994175422936678,0.16769570112228394,False,789,0.2951945032026378,0.4095066521234224,0.22643168303031247,789,0.2951945032026378,0.4095066521234224,0.5359452455596392,30,0.1926378126998742,0.3024035041128899,0.46163245479380965,30,0.1926378126998742,0.3024035041128899,0.2345802699114634,526,0.4082667992079893,0.5187367466215603,0.15384494895213663,526,0.40826679920798925,0.5187367466215603,0.2126960842107526,20,0.2220575190037489,0.2497664715242622,-1.0138851736873877,20,0.2220575190037489,0.2497664715242622,-1.0014556243673227
LSTM,7,48,0.003,0.15,1,256,0.0001,327,12,6,0.07916360031813383,0.15961778163909912,False,787,0.2900154864801688,0.39952194061726526,0.26533361225799923,787,0.2900154864801688,0.39952194061726526,0.5594005808488922,30,0.20479972669283547,0.3072875475782379,0.44410194386305735,30,0.20479972669283547,0.3072875475782379,0.2096564069029837,526,0.3993384101255425,0.487744856137251,0.25193158335527754,526,0.3993384101255425,0.487744856137251,0.3039606713056926,20,0.23707994372546679,0.265354330231242,-1.2731012760030787,20,0.23707994372546679,0.265354330231242,-1.2590718642030745
LSTM,7,48,0.001,0.05,2,256,0.001,318,12,6,0.10747969187796116,0.16859139502048492,False,787,0.298767055805711,0.41059882868554454,0.22403110319617836,787,0.298767055805711,0.41059882868554454,0.5346303425397015,30,0.2084280325492223,0.31668878672632705,0.40956702409544654,30,0.2084280325492223,0.31668878672632705,0.16055666230929722,526,0.3683647279315575,0.4776911110187505,0.2824531814011929,526,0.3683647279315575,0.4776911110187505,0.3323594542804401,20,0.17197564867138862,0.1942679026387503,-0.21834007686156354,20,0.17197564867138862,0.1942679026387503,-0.21082057263569176
GRU,3,16,0.001,0.15,2,256,0.0001,49,22,16,0.13709862157702446,0.16358889639377594,False,789,0.2930064086166172,0.4044612516776787,0.24537603149696674,789,0.2930064086166172,0.4044612516776787,0.5473097427641832,30,0.20913042689959208,0.3354414935690949,0.33757182065428815,30,0.20913042689959208,0.3354414935690949,0.05819806050224474,526,0.35548350336887086,0.4634135345472227,0.3247052849628733,526,0.35548350336887086,0.4634135345472227,0.3716728715356449,20,0.19218676691055298,0.2083278391990751,-0.40107391058991526,20,0.19218676691055298,0.2083278391990751,-0.39242658675027053
LSTM,3,24,0.001,0.15,2,256,0.001,210,30,24,0.11129871693750222,0.16081732511520386,False,789,0.29135847924187,0.40102034520649044,0.2581611642723203,789,0.29135847924187,0.40102034520649044,0.5549793971701387,30,0.21006129358510175,0.32106520795008564,0.3931355118174069,30,0.21006129358510175,0.32106520795008564,0.13719529180174428,526,0.37741759024611443,0.4794725566440062,0.2770913309156553,526,0.37741759024611443,0.4794725566440062,0.3273705271589715,20,0.19086415835171933,0.21654484602834573,-0.5137777956154774,20,0.19086415835171933,0.21654484602834573,-0.5044348717903959
LSTM,7,16,0.001,0.15,2,256,0.0001,289,19,13,0.12823684886097908,0.18440115451812744,False,787,0.31367830695009297,0.42941954786805603,0.15126419822682702,787,0.31367830695009297,0.42941954786805603,0.4909900500234483,30,0.21011935348113378,0.3231529650240967,0.3852174631219094,30,0.21011935348113372,0.3231529650240967,0.12593786971287313,526,0.36652192768159925,0.4701085073705008,0.3050522639440417,526,0.3665219276815993,0.47010850737050075,0.35338674255012026,20,0.244186474916339,0.268522501962428,-1.327704239860576,20,0.244186474916339,0.268522501962428,-1.3133378226338692
GRU,3,48,0.003,0.15,2,256,0.001,90,11,5,0.11708835667620103,0.16548223793506622,False,789,0.3026787291127617,0.4067950802971627,0.2366422200257544,789,0.3026787291127617,0.4067950802971627,0.5420704295080785,30,0.210919221435984,0.31043493272179223,0.4326560812237946,30,0.210919221435984,0.31043493272179223,0.19338334369554322,526,0.3747759848735632,0.4754225776829619,0.28925219321713325,526,0.3747759848735632,0.4754225776829619,0.33868558637592094,20,0.18940836669802666,0.2125367756526508,-0.4582587899595205,20,0.18940836669802666,0.2125367756526508,-0.4492585253029051
LSTM,7,16,0.003,0.15,1,256,0.001,296,15,9,0.09356165826320648,0.17202715575695038,False,787,0.307801516454132,0.4147615649753241,0.20821747858021,787,0.307801516454132,0.4147615649753241,0.5251464816516543,30,0.21127020500500995,0.32948571309790087,0.36088588641922625,30,0.21127020500500995,0.32948571309790087,0.09134464610898085,526,0.3641909657716751,0.4585058563560406,0.33893266558621693,526,0.3641909657716751,0.4585058563560406,0.38491072015725514,20,0.21372383138239384,0.2451746973862865,-0.9405182135849259,20,0.21372383138239384,0.2451746973862865,-0.9285414796790519
LSTM,7,48,0.003,0.15,2,256,0.001,330,10,4,0.1000650055706501,0.1636437624692917,False,787,0.30013806524414577,0.40452906702804475,0.246803371677492,787,0.30013806524414577,0.40452906702804475,0.5482874914620277,30,0.21166589992443716,0.3206479373261089,0.39471190293690994,30,0.21166589992443716,0.3206479373261089,0.1394365132051293,526,0.4024807900072504,0.4934043424753463,0.2344706283684459,526,0.4024807900072504,0.4934043424753463,0.28771414743571366,20,0.24252903030514722,0.25557532891278933,-1.1086489513694957,20,0.24252903030514722,0.25557532891278933,-1.095634527070536
GRU,7,16,0.001,0.15,2,256,0.001,146,20,14,0.1295761503279209,0.17128919064998627,False,787,0.30580566913567325,0.4138709807539543,0.2116140901511273,787,0.30580566913567325,0.4138709807539543,0.5271835220147336,30,0.2129562400480111,0.31885443649109024,0.40146416013823627,30,0.2129562400480111,0.31885443649109024,0.1490364806076,526,0.3689466121152553,0.4751811170674452,0.2899739680332313,526,0.3689466121152553,0.4751811170674452,0.3393571608566598,20,0.21315980820059774,0.2294870692991347,-0.7001328818258576,20,0.21315980820059774,0.2294870692991347,-0.6896397882863552
