,count,mean,std,min,25%,50%,75%,max
Year,8128.0,2007.029158464567,8.939236033867147,1992.0,1999.0,2007.0,2015.0,2022.0
Temperature_Change,7810.0,0.9171304737516005,0.5692696138089614,-1.859,0.54625,0.875,1.24475,3.697
Artificial surfaces (including urban and associated areas),8128.0,750.68796875,3422.8432901784913,0.0,3.78,32.195,193.3275,64749.54
Grassland,8128.0,32865.95005413386,133730.63397017148,0.0,39.585,922.31,7618.1275,1813817.46
Herbaceous crops,8128.0,34495.68164000984,138813.75532613826,0.0,31.3525,1921.835,9424.1975,1913692.1
Inland water bodies,8128.0,6910.201966043307,33181.28650999791,0.0,29.83,195.35,1312.42,436125.67
Mangroves,8128.0,366.0009473425197,1577.2657754771424,0.0,0.0,0.2,47.27,20607.85
Permanent snow and glaciers,8128.0,7999.173048720474,88916.62432228887,0.0,0.0,0.0,0.0,1405285.91
Shrub-covered areas,8128.0,29307.73732406496,121521.78072194684,0.0,14.88,444.08,6908.1825,1611913.29
"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",8128.0,3368.8669156003934,16062.705996517654,0.0,0.27,18.72,320.6325,204706.75
Sparsely natural vegetated areas,8128.0,15136.437269931102,67874.48828827056,0.0,0.16,11.28,1273.5149999999999,905626.91
Terrestrial barren land,8128.0,38367.59939837598,163101.6742547101,0.0,0.057499999999999996,8.11,2827.5125000000003,1948238.01
Tree-covered areas,8128.0,76112.92095964566,325723.04546600865,0.0,84.645,2355.81,18648.5925,4340886.13
Woody crops,8128.0,3787.7964530019685,16053.16232837516,0.0,7.085,182.66,1120.85,242172.13
AFOLU,8128.0,126637.64089371308,564639.2154546123,-1013232.2455,19.652575000000002,4330.68475,42255.88565,8264926.7198
Agricultural Soils,8128.0,28801.145334030512,119312.60535916363,0.0,70.808,1567.21,8924.769375,1857436.9665
Agrifood Systems Waste Disposal,8066.0,23584.571017493177,103731.72700555658,0.0,121.74955,1298.1499,6913.4272,1447947.4988
Agrifood systems,8128.0,273952.53644434054,1136581.1482710163,0.0,1447.147675,15783.70205,92771.719675,16152490.613
All sectors with LULUCF,8128.0,731839.1687034818,3253568.6121875797,-53350.4172,2355.170425,41193.2305,212364.141325,51058260.5963
All sectors without LULUCF,8128.0,706698.5879476748,3237025.583675812,0.0,2155.076325,29414.25595,180914.5664,50855771.3093
Burning - Crop residues,6763.0,703.828238340973,2756.2887186330145,0.0,4.332599999999999,37.8754,250.695,37834.0215
Crop Residues,6819.0,3289.5084732952046,13256.984444211623,0.0,15.7675,156.8005,1089.50775,196571.0375
Drained organic soils,8128.0,15414.871555634843,68111.38683544823,0.0,0.0,5.4854,3270.1316,922825.6645
Drained organic soils (CO2),8128.0,13852.771253161909,61361.37543954525,0.0,0.0,4.6109,2889.289775,830402.6215
Drained organic soils (N2O),8128.0,1562.1003024729332,7183.229014118264,0.0,0.0,0.583,202.41362500000002,92450.5765
Emissions from crops,7288.0,26816.450834495063,121493.01147166359,0.0,55.732275,747.10775,6322.1349,1553907.2728
Emissions from livestock,7206.0,78969.16149289481,302380.0706872625,0.5051,786.9757,5503.74835,28596.130875,4274318.1979
Emissions on agricultural land,8128.0,204214.0934462106,849342.3270500301,0.0,541.49005,9954.1703,67971.325075,12960089.5539
Energy,7353.0,579664.3920294573,2590855.3182988716,3.67,2639.29,19047.605,168415.6109,38225755.6242
Enteric Fermentation,7185.0,54109.476320501046,209354.05807177295,0.028,466.354,3600.6152,19171.6112,2918397.2244
Farm gate,8128.0,128825.68224564467,531350.514372873,0.0,322.2898,7848.772,44469.62135,7966443.0851
Fertilizers Manufacturing,3427.0,13644.895537117012,42805.34464122561,0.0019,218.3988,1176.5481,6421.59295,466364.1154
Fires in humid tropical forests,8004.0,3609.140467253873,16806.64348290304,0.0,0.0,0.0,47.754825000000004,210133.7371
Fires in organic soils,8004.0,3962.0835422038986,42277.9097730606,0.0,0.0,0.0,0.0,1001193.4867
Food Household Consumption,7686.0,15182.323552211812,72283.36629008048,0.0,16.445625,289.19965,3793.923225,1277748.3163
Food Packaging,5011.0,5294.795311754141,20689.592315043217,0.0,6.3623,133.1311,1547.35525,234439.452
Food Processing,4339.0,14280.70400696013,49267.424131254156,0.0,5.91625,441.8336,4182.45155,549935.1481
Food Retail,7536.0,7675.3239309846085,34835.0269748673,0.0005,35.319275,347.50710000000004,2509.891875,697267.5402
Food Transport,7871.0,7109.482665849321,31241.614600377983,0.0,42.03655,308.5562,2277.9548,520084.1188
Forest fires,8066.0,4824.245177374164,21689.80525848354,0.0,0.0,1.9482,234.0245,316125.4961
Forestland,7985.0,-66504.00649988728,322555.1386619172,-4409914.2101,-8322.0774,-158.0812,0.0,217884.3333
IPCC Agriculture,8128.0,101497.0601379183,416685.5089943028,0.0,234.468775,6026.03385,32738.97065,6109928.365
IPPU,7384.0,55704.89532769501,273012.6468311909,0.0001,96.410875,1632.69635,14938.346425,4433695.108
International bunkers,31.0,1028369.3476451612,204568.58539962734,698195.8656,864543.5833,1042565.472,1165484.55375,1375302.608
LULUCF,8128.0,25140.580755794785,280491.07525641564,-1451084.2433,-634.6412,0.0,6494.656175,3123185.2937
Land-use change,8097.0,75677.04164977153,366839.08235145814,0.0,0.0,130.5703,7527.9453,6365799.1275
Manure Management,7215.0,7552.8211678586285,30034.28962749401,0.053,53.81685,432.6058,2379.145,399210.8407
Manure applied to Soils,7206.0,3026.1055379544828,12127.025310382176,0.053,23.161,187.36825,979.29425,163794.7245
Manure left on Pasture,7206.0,14429.014875936718,54759.95432001938,0.0,131.32737500000002,950.8995,5277.4021250000005,792915.2185
Net Forest conversion,7985.0,69149.27104151534,340513.2065814194,0.0,0.0,103.5654,6889.6067,5175840.3193
On-farm energy use,6209.0,17640.79815524239,72381.71170669935,0.0,35.1729,629.2826,6351.1934,1026313.9962
Other,7291.0,4028.930578425456,17008.073020640608,0.0,39.6175,216.505,1038.8,208711.7031
