,Jumlah_Missing,Persentase
International bunkers,8097,99.62
Fertilizers Manufacturing,4701,57.84
Food Processing,3789,46.62
Rice Cultivation,3407,41.92
Food Packaging,3117,38.35
On-farm energy use,1919,23.61
Burning - Crop residues,1365,16.79
Crop Residues,1309,16.1
Enteric Fermentation,943,11.6
Manure applied to Soils,922,11.34
Manure left on Pasture,922,11.34
Emissions from livestock,922,11.34
Synthetic Fertilizers,916,11.27
Manure Management,913,11.23
Emissions from crops,840,10.33
Other,837,10.3
Energy,775,9.53
IPPU,744,9.15
Waste,744,9.15
Pesticides Manufacturing,693,8.53
Food Retail,592,7.28
Food Household Consumption,442,5.44
Temperature_Change,318,3.91
Food Transport,257,3.16
Forestland,143,1.76
Net Forest conversion,143,1.76
Fires in organic soils,124,1.53
Fires in humid tropical forests,124,1.53
Agrifood Systems Waste Disposal,62,0.76
Forest fires,62,0.76
Land-use change,31,0.38
