model,target_type,split,n,MAE,RMSE,R2
Naive zero delta,delta,train,6544,0.36661231662591687,0.5102361622891493,-0.006229754099178253
Naive zero delta,reconstructed_level,train,6544,0.36661231662591687,0.5102361622891493,0.0764255657381192
Naive zero delta,delta,validation,789,0.3396932826362484,0.4724790759243332,-0.029773976706031435
Naive zero delta,reconstructed_level,validation,789,0.3396932826362484,0.4724790759243332,0.38225041097680224
Naive zero delta,delta,test,526,0.40847528517110265,0.5692494366292,-0.018969400428648253
Naive zero delta,reconstructed_level,test,526,0.40847528517110265,0.5692494366292,0.05190118757381601
Naive zero delta,delta,asean_test,20,0.17914999999999998,0.2438301663043357,-0.9192930790068465
Naive zero delta,reconstructed_level,asean_test,20,0.17914999999999998,0.2438301663043357,-0.9074473450509748
Mean baseline,delta,train,6544,0.36564272261195235,0.5086542268536772,0.0
Mean baseline,reconstructed_level,train,6544,0.36564272261195235,0.5086542268536772,0.08214358549881506
Mean baseline,delta,validation,789,0.33860938124610707,0.46733010608170744,-0.00745178754127962
Mean baseline,reconstructed_level,validation,789,0.33860938124610707,0.46733010608170744,0.3956412360457483
Mean baseline,delta,test,526,0.4190197992878857,0.5761017121596002,-0.04364850492214489
Mean baseline,reconstructed_level,test,526,0.41901979928788574,0.5761017121596,0.02893854546485486
Mean baseline,delta,asean_test,20,0.20976797066014669,0.273156983589467,-1.4087462082030928
Mean baseline,reconstructed_level,asean_test,20,0.20976797066014674,0.27315698358946705,-1.393879605982888
Ridge,delta,train,6544,0.28020088105630747,0.3806553064661452,0.43996075531461565
Ridge,reconstructed_level,train,6544,0.28020088105630747,0.3806553064661452,0.4859643868931214
Ridge,delta,validation,789,0.3243012788364727,0.4406415896545088,0.10433062932129078
Ridge,reconstructed_level,validation,789,0.3243012788364727,0.4406415896545088,0.4626982248985414
Ridge,delta,test,526,0.34266586042577724,0.4320042920652994,0.41314332763879813
Ridge,reconstructed_level,test,526,0.34266586042577724,0.4320042920652994,0.45395993844763294
Ridge,delta,asean_test,20,0.177568859809152,0.20507513094269067,-0.3576643757535176
Ridge,reconstructed_level,asean_test,20,0.177568859809152,0.20507513094269067,-0.34928497233022004
Random Forest,delta,train,6544,0.10089616826445272,0.14883631721314164,0.9143805339427772
Random Forest,reconstructed_level,train,6544,0.10089616826445268,0.14883631721314164,0.9214136238732116
Random Forest,delta,validation,789,0.31787666283985094,0.4409569754394717,0.1030480337329508
Random Forest,reconstructed_level,validation,789,0.31787666283985094,0.4409569754394717,0.4619288105265503
Random Forest,delta,test,526,0.36047322840463,0.5003478938249724,0.21277282875675418
Random Forest,reconstructed_level,test,526,0.36047322840463,0.5003478938249724,0.2675254567493669
Random Forest,delta,asean_test,20,0.16634589071325506,0.20336461968928227,-0.33511054248200844
Random Forest,reconstructed_level,asean_test,20,0.16634589071325503,0.2033646196892822,-0.32687033963810164
HistGradientBoosting,delta,train,6544,0.17462165727438772,0.2287710094661046,0.7977182689477603
HistGradientBoosting,reconstructed_level,train,6544,0.17462165727438772,0.2287710094661046,0.8143344156172982
HistGradientBoosting,delta,validation,789,0.31237543471825835,0.4268695042339608,0.1594433051302987
HistGradientBoosting,reconstructed_level,validation,789,0.31237543471825835,0.42686950423396086,0.495759686540723
HistGradientBoosting,delta,test,526,0.35418635697902645,0.4887379906647334,0.24888208345798968
HistGradientBoosting,reconstructed_level,test,526,0.35418635697902645,0.4887379906647334,0.30112326791566324
HistGradientBoosting,delta,asean_test,20,0.12686524380137187,0.15523002116901857,0.2221105868380775
HistGradientBoosting,reconstructed_level,asean_test,20,0.12686524380137193,0.1552300211690186,0.22691166236749738
GRU,delta,train,6010,0.271742658562131,0.3678127647657149,0.4673037270283996
GRU,reconstructed_level,train,6010,0.271742658562131,0.3678127647657149,0.4943087680359499
GRU,delta,validation,789,0.2930064086166172,0.4044612516776787,0.24537603149696674
GRU,reconstructed_level,validation,789,0.2930064086166172,0.4044612516776787,0.5473097427641832
GRU,delta,test,526,0.35548350336887086,0.4634135345472227,0.3247052849628733
GRU,reconstructed_level,test,526,0.35548350336887086,0.4634135345472227,0.3716728715356449
GRU,delta,asean_test,20,0.19218676691055298,0.2083278391990751,-0.40107391058991526
GRU,reconstructed_level,asean_test,20,0.19218676691055298,0.2083278391990751,-0.39242658675027053
LSTM,delta,train,6010,0.22259066686086765,0.3040013239698303,0.636104224370935
LSTM,reconstructed_level,train,6010,0.22259066686086765,0.3040013239698303,0.6545519230727075
LSTM,delta,validation,789,0.2951945032026378,0.4095066521234224,0.22643168303031247
LSTM,reconstructed_level,validation,789,0.2951945032026378,0.4095066521234224,0.5359452455596392
LSTM,delta,test,526,0.4082667992079893,0.5187367466215603,0.15384494895213663
LSTM,reconstructed_level,test,526,0.40826679920798925,0.5187367466215603,0.2126960842107526
LSTM,delta,asean_test,20,0.2220575190037489,0.2497664715242622,-1.0138851736873877
LSTM,reconstructed_level,asean_test,20,0.2220575190037489,0.2497664715242622,-1.0014556243673227
